Confirmed,Country,End date,Level,Place,Start date,URL
,Saudi Arabia,04/13/2020,State,Hai'l,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Bahah ,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Jizan,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Asir,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Najran ,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Eastern Province,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Peru,/Not Known/,National,Lima,03/15/2020,https://vancouversun.com/travel/lockdown-in-peru/
,Thailand,04/12/2020,National,Bangkok,03/22/2020,https://www.bloomberg.com/news/articles/2020-03-21/thailand-confirms-89-more-coronavirus-cases-taking-total-to-411
,Serbia,04/12/2020,National,Belgrade,03/15/2020,https://www.france24.com/en/20200315-serbia-declares-state-of-emergency-over-coronavirus
,Mexico,04/04/2020,National,North America,03/24/2020,
,UAE,04/12/2020,State,Abu Dhabi,03/26/2020,https://www.usnews.com/news/world/articles/2020-04-04/dubai-imposes-two-week-lockdown-to-fight-coronavirus-outbreak
,UAE,04/12/2020,State,Ajman,03/26/2020,https://www.usnews.com/news/world/articles/2020-04-04/dubai-imposes-two-week-lockdown-to-fight-coronavirus-outbreak
,UAE,04/12/2020,State,Dubai,03/26/2020,https://www.usnews.com/news/world/articles/2020-04-04/dubai-imposes-two-week-lockdown-to-fight-coronavirus-outbreak
,UAE,04/12/2020,State,Fujairah,03/26/2020,https://www.usnews.com/news/world/articles/2020-04-04/dubai-imposes-two-week-lockdown-to-fight-coronavirus-outbreak
,UAE,04/12/2020,State,Ras-Al-Khaimah,03/26/2020,https://www.usnews.com/news/world/articles/2020-04-04/dubai-imposes-two-week-lockdown-to-fight-coronavirus-outbreak
,UAE,04/12/2020,State,Sharjah,03/26/2020,https://www.usnews.com/news/world/articles/2020-04-04/dubai-imposes-two-week-lockdown-to-fight-coronavirus-outbreak
,UAE,04/12/2020,State,Umm Al-Qawain,03/26/2020,https://www.usnews.com/news/world/articles/2020-04-04/dubai-imposes-two-week-lockdown-to-fight-coronavirus-outbreak
,Panama,04/20/2020,State,Bocas del Toro,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Chiriqui,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Cocle,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Colon,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Derrien,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Herrera,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Los Santos,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Panama,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Panam Oeste,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Panama,04/20/2020,State,Veraguas,03/16/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Panama
,Greece,04/27/2020,State,Atteca,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Crete,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Southern Aegean,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Northern Aegean,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Epirus,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Central Greece,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Western Greece,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Ionion Iseland,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Macedonia,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Central Macedonia,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Western Macedonia,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Eastern Macedonia,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Pelloponnese,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,Greece,04/27/2020,State,Thessaly,03/23/2020,https://greekcitytimes.com/2020/04/05/greece-extends-coronavirus-lockdown/
,South Africa,04/14/2020,State,Western Cape,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,Eastern Cape,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,Northern Cape,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,North West,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,Free State,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,Kwazulu Natal,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,Guateng,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,Limpopo,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,South Africa,04/14/2020,State,Mpumalanga,03/24/2020,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html
,Italy,05/01/2020,State,Agrigento,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Alessandria,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Ancona,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Aosta,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Arezzo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Ascoli Piceno,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Asti,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Avellino,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Barletta,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Bari,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Belluno,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Benevento,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Bergamo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Biella,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Bologna,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Bresica,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Brindisi,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Cagliari,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Caltanissetta,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Campobasso,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,caserta,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Catania,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Catanzaro,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Chieti,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Como,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Cosenza,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Cremona,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,crotone,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Cuneo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Enna,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Fremo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Ferrara,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Florence,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Foggia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Forli-Cesena,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Frosinone',03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Genoa,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Gorizia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Grosseto,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Imperia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Isernia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,La Spezia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Laquila,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,latina,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Lecce,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Lecco,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Livorna,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Lodi,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Lucca,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Macerata,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Mantua,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Massa & Carrara,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Matera,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Messina,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Milan,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Modena,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Monza & Brianza,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Naples,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Novara,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Nouru,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Oristano,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Padua,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Palermo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Parma,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Paavia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Perugia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Pesaro,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Pescara,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Piacenza,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Pisa,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Pistoa,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Posdenone,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Potenza,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Prato,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Ragusa,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Ravenna,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Reggio Calabria,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Reggio Emilia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Rieti,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Rimini,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Rome,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Rovigo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Salerno,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Sassari,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Savona,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Siena,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Sandrio,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,South Tyrol,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Syracuse,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Taranto,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Teramo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,terni,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Trapani,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Trento,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,TrevisoTrieste,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Turin,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Udine,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Varese,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Venice,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Verbano-Cusio,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Vercili,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Verona,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Vibo Valentia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Vicenzia,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Italy,05/01/2020,State,Viterbo,03/09/2020,https://www.thelocal.it/20200407/coronavirus-how-and-when-will-italys-lockdown-end
,Qatar,04/15/2020,State,Baladiyat ash Shamal,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Qatar
,Qatar,04/15/2020,State,Baladiyat al Khawr wa adh Dhakhirah,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Qatar
,Qatar,04/15/2020,State,Baladiyat Umm Salal,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Qatar
,Qatar,04/15/2020,State,Baladiyat ar Rayyan,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Qatar
,Qatar,04/15/2020,State, Baladiyat ad Dawhah,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Qatar
,Qatar,04/15/2020,State,Al Wakrah,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Qatar
,Qatar,04/15/2020,State,Baladiyat az Za'ayin,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Qatar
,Iceland,05/03/2020,State,Capital Region,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Iceland,05/03/2020,State,Western Region,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Iceland,05/03/2020,State,Northwestern Region,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Iceland,05/03/2020,State,Notheastern Region,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Iceland,05/03/2020,State,Eastern region,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Iceland,05/03/2020,State,Southern Region,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Iceland,05/03/2020,State,Westfords,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Iceland,05/03/2020,State,Southern Peninsula,03/24/2020,https://www.bbc.com/news/uk-england-bristol-52019720
,Singapore,05/03/2020,State,Central Areas,03/04/2020,https://www.livemint.com/news/world/singapore-announces-1-month-lockdown-amid-rising-corona-cases-11585905344421.html
,Singapore,05/03/2020,State,Tampines,03/04/2020,https://www.livemint.com/news/world/singapore-announces-1-month-lockdown-amid-rising-corona-cases-11585905344421.html
,Singapore,05/03/2020,State,Woodlands,03/04/2020,https://www.livemint.com/news/world/singapore-announces-1-month-lockdown-amid-rising-corona-cases-11585905344421.html
,Singapore,05/03/2020,State,Seletor,03/04/2020,https://www.livemint.com/news/world/singapore-announces-1-month-lockdown-amid-rising-corona-cases-11585905344421.html
,Singapore,05/03/2020,State,Jurong East,03/04/2020,https://www.livemint.com/news/world/singapore-announces-1-month-lockdown-amid-rising-corona-cases-11585905344421.html
,Algeria,04/19/2020,National,Algiers,04/05/2020,http://www.aps.dz/en/algeria/33814-partial-lockdown-broadened-to-all-provinces-schedules-extended-in-others-as-of-sunday
,New Zealand,04/23/2020,State,Auckland,03/25/2020,https://thespinoff.co.nz/society/08-04-2020/how-and-when-will-new-zealand-come-out-of-lockdown/
,New Zealand,04/23/2020,State,New Plymuth,03/25/2020,https://thespinoff.co.nz/society/08-04-2020/how-and-when-will-new-zealand-come-out-of-lockdown/
,New Zealand,04/23/2020,State,Wellington,03/25/2020,https://thespinoff.co.nz/society/08-04-2020/how-and-when-will-new-zealand-come-out-of-lockdown/
,New Zealand,04/23/2020,State,Nelson,03/25/2020,https://thespinoff.co.nz/society/08-04-2020/how-and-when-will-new-zealand-come-out-of-lockdown/
,New Zealand,04/23/2020,State,Canterbusy,03/25/2020,https://thespinoff.co.nz/society/08-04-2020/how-and-when-will-new-zealand-come-out-of-lockdown/
,New Zealand,04/23/2020,State,Otago,03/25/2020,https://thespinoff.co.nz/society/08-04-2020/how-and-when-will-new-zealand-come-out-of-lockdown/
,Estonia,04/02/2020,National,Tallinn,03/17/2020,https://estonianworld.com/life/blog-coronavirus-in-estonia/
,Hungary,04/11/2020,State,Baranya,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Bacs-kiskun,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Bekes,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Budapest,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Csongrad,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,fejer,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Hajdu Bihar,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Heves,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Nograd,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Pest,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Somogy,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Tolna,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Vast,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Hungary,04/11/2020,State,Zala,03/27/2020,https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/
,Armenia,04/14/2020,State,Aragatsotn,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Ararat,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Armavir,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Gegharkunik,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Kotayk,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Lori,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Shirak ,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Syunik,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
